v,exact,exact_size,exact_time,greedy1,greedy1_size,greedy1_time,greedy2,greedy2_size,greedy2_time
5,1 2 ,2,4582,1 2 ,2,198,1 2 ,2,249
5,3 4 5 ,3,7383,1 2 4 ,3,168,2 3 4 5 ,4,221
5,1 2 3 ,3,6909,1 2 3 ,3,166,1 2 3 4 ,4,205
5,3 4 5 ,3,6397,1 2 3 ,3,157,1 2 3 4 ,4,198
5,3 4 5 ,3,6040,1 2 4 ,3,145,1 3 4 5 ,4,187
5,1 2 ,2,3250,1 2 ,2,135,1 2 ,2,159
5,3 4 5 ,3,5779,1 2 3 ,3,137,1 2 4 5 ,4,186
5,3 4 5 ,3,5633,1 2 3 ,3,144,2 3 4 5 ,4,198
5,1 2 ,2,3025,1 2 ,2,129,1 2 ,2,157
5,1 2 ,2,3095,1 2 ,2,136,1 2 ,2,162
10,1 2 3 5 6 ,5,47402,1 2 3 5 6 ,5,292,1 2 3 5 6 8 ,6,441
10,1 2 3 4 10 ,5,37704,1 2 3 4 10 ,5,287,1 2 3 4 6 7 8 10 ,8,382
10,2 5 7 8 9 ,5,42339,1 2 3 5 7 ,5,251,1 2 3 5 7 8 ,6,321
10,2 5 8 9 10 ,5,44877,1 2 3 5 6 ,5,267,1 2 3 5 6 8 9 10 ,8,362
10,1 2 3 4 5 6 ,6,51906,1 2 3 4 5 6 ,6,295,1 2 3 4 5 7 9 10 ,8,375
10,2 5 6 9 10 ,5,41085,2 5 6 9 10 ,5,285,2 5 6 7 9 10 ,6,386
10,1 2 5 7 8 ,5,44824,1 2 3 5 8 ,5,259,1 2 5 7 8 10 ,6,339
10,1 5 6 7 10 ,5,40575,1 2 3 5 6 ,5,261,2 3 4 5 6 10 ,6,344
10,1 2 3 4 5 ,5,37048,1 2 3 4 5 ,5,279,1 2 3 4 5 6 7 10 ,8,371
10,1 3 7 8 9 ,5,43215,1 3 4 7 8 ,5,278,1 2 3 4 5 8 9 10 ,8,377
15,2 4 6 8 9 13 15 ,7,171354,1 2 4 6 8 9 15 ,7,512,1 2 3 4 5 6 8 9 13 15 ,10,690
15,3 4 5 7 8 9 15 ,7,199257,2 3 4 5 6 7 9 ,7,515,2 3 4 5 6 7 9 12 ,8,594
15,3 5 7 8 9 10 14 15 ,8,422009,2 3 5 6 7 8 9 10 13 ,9,549,2 3 4 5 6 7 8 9 10 12 13 15 ,12,660
15,1 4 5 8 9 12 14 ,7,287179,1 2 3 4 5 7 8 14 ,8,579,1 2 3 4 5 7 8 12 13 14 ,10,676
15,3 4 7 8 9 10 15 ,7,284873,3 4 5 6 7 8 10 15 ,8,488,4 6 7 8 9 12 13 15 ,8,630
15,1 2 9 10 12 13 15 ,7,384087,1 2 4 5 6 7 8 9 11 ,9,505,1 2 4 5 6 7 8 9 10 11 12 15 ,12,671
15,1 4 5 7 8 11 12 ,7,336328,1 2 3 4 5 6 7 8 9 ,9,547,1 3 4 5 6 7 8 11 12 15 ,10,609
15,1 2 3 4 5 6 8 ,7,172885,1 2 3 4 5 6 8 ,7,464,1 2 3 4 5 6 8 15 ,8,600
15,1 2 5 6 9 11 15 ,7,158990,1 2 5 6 9 10 11 ,7,470,1 2 5 6 7 9 11 13 14 15 ,10,615
15,1 3 4 6 12 14 ,6,112265,1 3 4 6 9 14 ,6,441,1 3 4 6 9 12 13 14 ,8,535
20,2 3 5 9 10 12 15 17 18 20 ,10,19964491,2 3 4 5 6 7 8 9 10 12 14 ,11,694,2 3 4 5 7 9 10 12 13 14 15 17 18 20 ,14,961
20,2 3 4 5 6 7 10 11 14 17 ,10,28656776,3 4 5 6 7 8 10 11 12 14 ,10,690,1 3 4 5 6 7 8 10 11 12 14 16 19 20 ,14,912
20,1 5 7 8 11 14 15 18 19 ,9,1976548,1 2 3 5 6 7 8 11 13 14 ,10,688,1 2 3 5 6 7 8 9 11 13 14 15 17 18 ,14,945
20,2 3 6 8 9 10 11 12 19 ,9,2159147,1 2 3 4 6 7 8 11 12 13 ,10,697,1 2 3 4 6 7 9 10 11 12 13 16 18 19 ,14,885
20,1 3 6 7 9 13 14 15 17 18 ,10,31397743,1 3 6 7 9 13 14 15 17 18 ,10,744,1 2 3 5 6 7 9 10 13 14 15 17 18 19 ,14,977
20,1 2 4 6 8 15 16 17 18 19 20 ,11,500863754,1 2 3 4 6 8 10 12 13 17 19 ,11,805,1 2 3 4 5 6 7 8 9 10 12 13 14 16 17 20 ,16,1102
20,1 2 3 4 7 9 10 13 17 ,9,2215461,1 2 3 4 5 7 9 10 13 ,9,702,1 2 3 4 5 6 7 9 10 13 14 15 16 17 ,14,891
20,2 3 5 8 11 12 14 15 16 17 19 ,11,425637808,1 2 3 4 5 6 8 9 11 13 14 ,11,811,1 2 3 5 6 8 11 12 13 14 16 17 18 19 ,14,1023
20,1 2 3 4 12 16 17 18 19 20 ,10,32633075,1 2 3 4 6 9 12 13 17 18 ,10,710,1 2 3 4 8 9 12 13 17 18 19 20 ,12,959
20,1 2 4 5 7 8 9 10 15 16 ,10,26676882,1 2 3 4 5 7 8 9 10 16 ,10,782,1 2 3 4 5 7 8 9 10 11 13 15 16 19 ,14,975
25,1 4 5 6 8 12 15 19 22 23 24 ,11,217132633,1 2 4 5 6 8 12 15 19 22 23 ,11,918,1 2 4 5 7 8 9 12 14 15 19 20 22 23 ,14,1234
25,1 4 5 6 8 12 15 19 22 23 24 ,11,212249713,1 2 4 5 6 8 12 15 19 22 23 ,11,900,1 2 4 5 7 8 9 12 14 15 19 20 22 23 ,14,1332
25,1 2 4 5 6 7 9 11 15 19 20 22 ,12,11806192741,1 2 3 4 5 6 7 8 9 10 11 15 19 ,13,959,1 2 3 4 5 6 7 8 9 10 11 14 15 16 17 19 21 22 23 25 ,20,1485

